job_id,title,company,location,experience,salary,skills,description
1000,Recommendation Systems Engineer,Cohere,Pune,5-8 years,33 LPA,"python, aws, machine learning, recommendation system, tensorflow, agile","We are hiring a Recommendation Systems Engineer at Cohere (Pune). Experience: 5-8 years. Required skills: python, aws, machine learning, recommendation system, tensorflow, agile. Responsibilities include designing, building and deploying production systems using python, aws, machine learning, recommendation system. Strong problem solving, communication and ownership expected."
1001,Machine Learning Engineer,Wipro,Singapore,1-3 years,$194K,"tensorflow, mlops, airflow, docker, aws","We are hiring a Machine Learning Engineer at Wipro (Singapore). Experience: 1-3 years. Required skills: tensorflow, mlops, airflow, docker, aws. Responsibilities include designing, building and deploying production systems using tensorflow, mlops, airflow, docker. Strong problem solving, communication and ownership expected."
1002,Security Engineer,Uber,Pune,3-5 years,12 LPA,"linux, python, penetration testing, aws, networking, docker, leadership","We are hiring a Security Engineer at Uber (Pune). Experience: 3-5 years. Required skills: linux, python, penetration testing, aws, networking, docker, leadership. Responsibilities include designing, building and deploying production systems using linux, python, penetration testing, aws. Strong problem solving, communication and ownership expected."
1003,Java Developer,Wipro,Pune,0-1 years,48 LPA,"docker, rest api, java, sql, kafka, spring, aws, problem solving, leadership","We are hiring a Java Developer at Wipro (Pune). Experience: 0-1 years. Required skills: docker, rest api, java, sql, kafka, spring, aws, problem solving, leadership. Responsibilities include designing, building and deploying production systems using docker, rest api, java, sql. Strong problem solving, communication and ownership expected."
1004,Frontend Developer,Zomato,Remote,8+ years,23 LPA,"typescript, tailwind, redux, javascript, next.js, css, react, leadership, scrum, docker","We are hiring a Frontend Developer at Zomato (Remote). Experience: 8+ years. Required skills: typescript, tailwind, redux, javascript, next.js, css, react, leadership, scrum, docker. Responsibilities include designing, building and deploying production systems using typescript, tailwind, redux, javascript. Strong problem solving, communication and ownership expected."
1005,Database Administrator,OpenAI,Noida,8+ years,26 LPA,"backup, postgresql, sql, mysql, oracle, linux, mongodb, problem solving","We are hiring a Database Administrator at OpenAI (Noida). Experience: 8+ years. Required skills: backup, postgresql, sql, mysql, oracle, linux, mongodb, problem solving. Responsibilities include designing, building and deploying production systems using backup, postgresql, sql, mysql. Strong problem solving, communication and ownership expected."
1006,Product Analyst,Databricks,"New York, USA",1-3 years,$247K,"python, sql, excel, ab testing, communication","We are hiring a Product Analyst at Databricks (New York, USA). Experience: 1-3 years. Required skills: python, sql, excel, ab testing, communication. Responsibilities include designing, building and deploying production systems using python, sql, excel, ab testing. Strong problem solving, communication and ownership expected."
1007,MLOps Engineer,Cognizant,Delhi NCR,5-8 years,37 LPA,"ci/cd, kubernetes, mlflow, docker, sagemaker, terraform, python, airflow, linux, aws, scrum","We are hiring a MLOps Engineer at Cognizant (Delhi NCR). Experience: 5-8 years. Required skills: ci/cd, kubernetes, mlflow, docker, sagemaker, terraform, python, airflow, linux, aws, scrum. Responsibilities include designing, building and deploying production systems using ci/cd, kubernetes, mlflow, docker. Strong problem solving, communication and ownership expected."
1008,NLP Engineer,Razorpay,"Toronto, Canada",5-8 years,$144K,"nlp, transformers, llm, spacy, pytorch, agile, linux","We are hiring a NLP Engineer at Razorpay (Toronto, Canada). Experience: 5-8 years. Required skills: nlp, transformers, llm, spacy, pytorch, agile, linux. Responsibilities include designing, building and deploying production systems using nlp, transformers, llm, spacy. Strong problem solving, communication and ownership expected."
1009,QA Automation Engineer,Freshworks,Chennai,3-5 years,6 LPA,"ci/cd, jira, selenium, java, testng, agile, problem solving","We are hiring a QA Automation Engineer at Freshworks (Chennai). Experience: 3-5 years. Required skills: ci/cd, jira, selenium, java, testng, agile, problem solving. Responsibilities include designing, building and deploying production systems using ci/cd, jira, selenium, java. Strong problem solving, communication and ownership expected."
1010,SRE,Atlassian,Bangalore,5-8 years,26 LPA,"prometheus, aws, kubernetes, python, linux, terraform, grafana","We are hiring a SRE at Atlassian (Bangalore). Experience: 5-8 years. Required skills: prometheus, aws, kubernetes, python, linux, terraform, grafana. Responsibilities include designing, building and deploying production systems using prometheus, aws, kubernetes, python. Strong problem solving, communication and ownership expected."
1011,MLOps Engineer,Apple,"Dublin, Ireland",0-1 years,$216K,"docker, aws, mlflow, terraform, mlops, agile","We are hiring a MLOps Engineer at Apple (Dublin, Ireland). Experience: 0-1 years. Required skills: docker, aws, mlflow, terraform, mlops, agile. Responsibilities include designing, building and deploying production systems using docker, aws, mlflow, terraform. Strong problem solving, communication and ownership expected."
1012,Product Analyst,Scale AI,Remote,8+ years,25 LPA,"python, tableau, ab testing, communication, statistics, linux, problem solving","We are hiring a Product Analyst at Scale AI (Remote). Experience: 8+ years. Required skills: python, tableau, ab testing, communication, statistics, linux, problem solving. Responsibilities include designing, building and deploying production systems using python, tableau, ab testing, communication. Strong problem solving, communication and ownership expected."
1013,Android Developer,Microsoft,Noida,5-8 years,20 LPA,"jetpack compose, rest api, firebase, kotlin, android, java, leadership","We are hiring a Android Developer at Microsoft (Noida). Experience: 5-8 years. Required skills: jetpack compose, rest api, firebase, kotlin, android, java, leadership. Responsibilities include designing, building and deploying production systems using jetpack compose, rest api, firebase, kotlin. Strong problem solving, communication and ownership expected."
1014,Data Scientist,HCL,Gurgaon,8+ years,37 LPA,"python, scikit-learn, pandas, matplotlib, numpy, aws","We are hiring a Data Scientist at HCL (Gurgaon). Experience: 8+ years. Required skills: python, scikit-learn, pandas, matplotlib, numpy, aws. Responsibilities include designing, building and deploying production systems using python, scikit-learn, pandas, matplotlib. Strong problem solving, communication and ownership expected."
1015,Backend Developer,BYJU'S,Hyderabad,8+ years,47 LPA,"flask, aws, django, fastapi, rest api, docker, python, redis, postgresql, linux","We are hiring a Backend Developer at BYJU'S (Hyderabad). Experience: 8+ years. Required skills: flask, aws, django, fastapi, rest api, docker, python, redis, postgresql, linux. Responsibilities include designing, building and deploying production systems using flask, aws, django, fastapi. Strong problem solving, communication and ownership expected."
1016,Recommendation Systems Engineer,Twilio,"Toronto, Canada",1-3 years,$188K,"python, spark, machine learning, tensorflow, aws, communication","We are hiring a Recommendation Systems Engineer at Twilio (Toronto, Canada). Experience: 1-3 years. Required skills: python, spark, machine learning, tensorflow, aws, communication. Responsibilities include designing, building and deploying production systems using python, spark, machine learning, tensorflow. Strong problem solving, communication and ownership expected."
1017,BI Developer,Infosys,Singapore,3-5 years,$203K,"excel, tableau, sql, looker, snowflake, etl, power bi, communication","We are hiring a BI Developer at Infosys (Singapore). Experience: 3-5 years. Required skills: excel, tableau, sql, looker, snowflake, etl, power bi, communication. Responsibilities include designing, building and deploying production systems using excel, tableau, sql, looker. Strong problem solving, communication and ownership expected."
